date,year,quarter,action,ticker,market,shares,price_local,currency,eur_usd_rate,amount_eur,return_pct
2022-10-31,2022,Q4 2022,BUY,ON,US,28.2908,61.43,USD,0.9883,1758.48,
2022-10-31,2022,Q4 2022,BUY,CABK,IBEX,484.1067,3.353,EUR,,1623.21,
2022-10-31,2022,Q4 2022,BUY,ANE,IBEX,40.8252,39.76,EUR,,1623.21,
2023-01-31,2023,Q1 2023,SELL,COP,US,17.3915,121.87,USD,1.0862,1951.3,23.82
2023-01-31,2023,Q1 2023,SELL,XOM,US,15.9049,116.01,USD,1.0862,1698.7,12.59
2023-01-31,2023,Q1 2023,SELL,CYTK,US,39.8054,42.48,USD,1.0862,1556.74,-11.47
2023-01-31,2023,Q1 2023,SELL,ON,US,28.2908,73.45,USD,1.0862,1913.05,8.79
2023-01-31,2023,Q1 2023,SELL,CABK,IBEX,484.1067,4.067,EUR,,1968.86,21.29
2023-01-31,2023,Q1 2023,BUY,MOD,US,78.8802,23.89,USD,1.0862,1734.9,
2023-01-31,2023,Q1 2023,BUY,ENPH,US,8.5123,221.38,USD,1.0862,1734.9,
2023-01-31,2023,Q1 2023,BUY,SANM,US,30.9281,60.93,USD,1.0862,1734.9,
2023-01-31,2023,Q1 2023,BUY,LLY,US,5.4757,344.15,USD,1.0862,1734.9,
2023-01-31,2023,Q1 2023,BUY,REP,IBEX,106.1262,15.09,EUR,,1601.45,
2023-04-30,2023,Q2 2023,SELL,ANE,IBEX,40.8252,32.56,EUR,,1329.27,-18.11
2023-04-30,2023,Q2 2023,SELL,ENPH,US,8.5123,164.2,USD,1.102,1268.34,-26.89
2023-04-30,2023,Q2 2023,SELL,SANM,US,30.9281,52.26,USD,1.102,1466.7,-15.46
2023-04-30,2023,Q2 2023,SELL,LLY,US,5.4757,395.86,USD,1.102,1966.96,13.38
2023-04-30,2023,Q2 2023,SELL,REP,IBEX,106.1262,13.345,EUR,,1416.25,-11.56
2023-04-30,2023,Q2 2023,BUY,POWL,US,128.0721,13.35,USD,1.102,1551.51,
2023-04-30,2023,Q2 2023,BUY,NFLX,US,51.8267,32.99,USD,1.102,1551.51,
2023-04-30,2023,Q2 2023,BUY,PDD,US,25.0882,68.15,USD,1.102,1551.51,
2023-04-30,2023,Q2 2023,BUY,ITX,IBEX,45.9615,31.16,EUR,,1432.16,
2023-04-30,2023,Q2 2023,BUY,SAB,IBEX,1515.836,0.9448,EUR,,1432.16,
2023-07-31,2023,Q3 2023,SELL,NFLX,US,51.8267,43.9,USD,1.0993,2069.67,33.4
2023-07-31,2023,Q3 2023,SELL,PDD,US,25.0882,89.82,USD,1.0993,2049.87,32.12
